Residence type,Place of residence,Age,Profession,Level of education,Family type,Family having children,Head of the family,Monthly income,Monthly income percentage allocated for wife,First torture experience,First type of torture,Current form of abuse,Place of most abuse,Type of marriage,Spouse divorced before the current marriage,Duration of current marriage,Extramarital affairs?,Level of satisfaction with marital life,Spouse physically capable of having sex,Level of satisfaction with sexual relationship patterns,Do you want Bangladesh to pass male torture law?,Are you (male) a victim of domestic abuse by your wife?
urban,Mymensingh,40,Abroad,High school,Single family,married with children,1,25001-50000,51-75%,After 12 months of marriage,Verbal,"Physical, mental, verbal",In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Partially dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Dhaka,36,Employed,Postgraduate,Joint family (with in-laws),married with children,1,5001-10000,1-10%,Within 6 months to 12 months of marriage,Verbal,Verbal,Outside (in front of everyone),Love Marriage,Husband previously divorced,1-3 years,Neither spouse is involved in adultery,Partially satisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Mymensingh,41,Unemployed,Graduate,Single family,married without children,1,0,0%,After 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,1-3 years,Wife involved in adultery,Fully dissatisfied,Both are capable,Fully dissatisfied,No,0
rural,Comilla,44,Employed,Graduate,Single family,married with children,1,15001-25000,0%,Between 2nd to 6th month of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Wife is not capable,Dissatisfied,Yes,0
suburban,Dhaka,33,Employed,Graduate,Single family,married with children,1,0,0%,After 12 months of marriage,Verbal,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,0-1 year,Wife involved in adultery,Partially dissatisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Dhaka,29,Businessman,Graduate,Joint family (without in-laws),married without children,1,15001-25000,31-50%,After 12 months of marriage,"Mental, verbal",Verbal,Outside (in front of everyone),Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Wife is not capable,Dissatisfied,Yes,0
urban,Dhaka,33,Abroad,Graduate,Single family,married with children,0,15001-25000,31-50%,After 12 months of marriage,"Physical, mental, verbal",Mental,Both indoors and outdoors,Arranged Marriage,Neither spouse is divorced,3-5 years,Wife involved in adultery,Dissatisfied,Husband is not capable,Fully dissatisfied,Yes,0
urban,Chittagong,34,Unemployed,Graduate,Single family,married with children,1,0,0%,After 12 months of marriage,Verbal,Verbal,In the house,Arranged Marriage,Both previously divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Partially dissatisfied,Yes,0
suburban,Dhaka,28,Unemployed,Graduate,Single family,married with children,1,0,0%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Mental,Both indoors and outdoors,Love Marriage,Wife previously divorced,0-1 year,Both involved in adultery,Dissatisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Rajshahi,22,Employed,Graduate,Joint family (without in-laws),married with children,1,15001-25000,31-50%,Within the 1st month of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Wife involved in adultery,Dissatisfied,Wife is not capable,Fully dissatisfied,No,0
suburban,Chittagong,36,Student,Graduate,Single family,married with children,1,5001-10000,31-50%,Within the 1st month of marriage,Verbal,Mental,In the house,Love Marriage,Wife previously divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Fully satisfied,Yes,0
urban,Chittagong,23,Employed,Postgraduate,Single family,married with children,1,25001-50000,11-30%,Within 6 months to 12 months of marriage,Verbal,"Physical, verbal",In the house,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Fully satisfied,No,0
suburban,Rangpur,33,Student,Graduate,Single family,married without children,0,15001-25000,31-50%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,1
urban,Dhaka,43,Employed,Graduate,Single family,married with children,1,25001-50000,1-10%,Within 6 months to 12 months of marriage,Mental,"Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Wife previously divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Wife is not capable,Fully dissatisfied,No,1
rural,Dhaka,20,Unemployed,Postgraduate,Joint family (with in-laws),married with children,1,0,0%,Within the 1st month of marriage,Verbal,Mental,In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Wife involved in adultery,Dissatisfied,Both are capable,Satisfied,No,0
suburban,Dhaka,34,Student,Graduate,Single family,married with children,1,5001-10000,11-30%,Within the 1st month of marriage,Verbal,Mental,In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Wife involved in adultery,Fully dissatisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Rangpur,44,Employed,High school,Joint family (with in-laws),married with children,1,25001-50000,1-10%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,Both indoors and outdoors,Arranged Marriage,Neither spouse is divorced,1-3 years,Both involved in adultery,Fully dissatisfied,Both are capable,Satisfied,Yes,0
urban,Sylhet,28,Unemployed,Postgraduate,Joint family (without in-laws),married without children,1,0,0%,After 12 months of marriage,"Mental, verbal",Mental,In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Both involved in adultery,Partially dissatisfied,Husband is not capable,Fully dissatisfied,Yes,0
urban,Chittagong,20,Employed,High school,Joint family (without in-laws),married with children,1,5001-10000,11-30%,After 12 months of marriage,Mental,"Physical, mental, verbal",In the house,Love Marriage,Neither spouse is divorced,1-3 years,Wife involved in adultery,Fully satisfied,Wife is not capable,Fully dissatisfied,Yes,1
urban,Dhaka,23,Unemployed,High school,Joint family (with in-laws),married with children,1,0,0%,Within the 1st month of marriage,"Physical, verbal",Verbal,In the house,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Wife is not capable,Fully dissatisfied,No,0
rural,Barisal,45,Businessman,Graduate,Joint family (without in-laws),married with children,0,5001-10000,31-50%,After 12 months of marriage,Verbal,"Physical, verbal",In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Husband involved in adultery,Satisfied,Both are capable,Dissatisfied,Yes,0
urban,Chittagong,45,Employed,Graduate,Joint family (with in-laws),married with children,1,15001-25000,1-10%,After 12 months of marriage,Mental,"Mental, verbal",In the house,Arranged Marriage,Wife previously divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Wife is not capable,Fully dissatisfied,Yes,0
urban,Rajshahi,40,Abroad,Postgraduate,Joint family (with in-laws),married without children,1,25001-50000,51-75%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are incapable,Dissatisfied,Yes,1
suburban,Rangpur,26,Employed,High school,Joint family (without in-laws),married with children,1,15001-25000,11-30%,Within 6 months to 12 months of marriage,Verbal,"Physical, mental, verbal",In the house,Arranged Marriage,Husband previously divorced,More than 10 years,Wife involved in adultery,Fully satisfied,Both are capable,Dissatisfied,Yes,0
urban,Sylhet,21,Employed,Postgraduate,Single family,married without children,1,15001-25000,11-30%,After 12 months of marriage,Verbal,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Partially dissatisfied,Both are incapable,Fully dissatisfied,No,0
suburban,Mymensingh,30,Employed,Postgraduate,Single family,married without children,1,50000-More,11-30%,Within the 1st month of marriage,"Physical, verbal","Physical, verbal",In the house,Arranged Marriage,Husband previously divorced,0-1 year,Husband involved in adultery,Dissatisfied,Husband is not capable,Fully dissatisfied,Yes,0
urban,Mymensingh,28,Employed,Graduate,Joint family (with in-laws),married with children,1,25001-50000,1-10%,Between 2nd to 6th month of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Fully dissatisfied,Husband is not capable,Dissatisfied,Yes,1
urban,Dhaka,27,Employed,Graduate,Joint family (without in-laws),married without children,1,15001-25000,100%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Husband previously divorced,0-1 year,Wife involved in adultery,Partially satisfied,Both are incapable,Partially dissatisfied,Yes,0
suburban,Dhaka,42,Employed,Graduate,Joint family (with in-laws),married without children,1,25001-50000,0%,Within 6 months to 12 months of marriage,"Mental, verbal",Verbal,In the house,Love Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Partially satisfied,Husband is not capable,Partially dissatisfied,Yes,0
urban,Mymensingh,44,Employed,High school,Joint family (with in-laws),married with children,1,15001-25000,11-30%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse","Mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Wife involved in adultery,Fully satisfied,Husband is not capable,Satisfied,Yes,0
urban,Khulna,36,Employed,Graduate,Joint family (without in-laws),married with children,1,5001-10000,11-30%,Between 2nd to 6th month of marriage,Verbal,Mental,Outside (in front of everyone),Love Marriage,Husband previously divorced,More than 10 years,Wife involved in adultery,Fully dissatisfied,Wife is not capable,Partially dissatisfied,No,0
suburban,Dhaka,33,Unemployed,Graduate,Joint family (with in-laws),married with children,1,0,0%,Within the 1st month of marriage,Verbal,"Physical, mental, verbal",In the house,Arranged Marriage,Wife previously divorced,More than 10 years,Wife involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Chittagong,33,Employed,Graduate,Single family,married with children,1,25001-50000,11-30%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,1-3 years,Husband involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,No,0
urban,Chittagong,30,Businessman,Graduate,Joint family (with in-laws),married with children,0,15001-25000,1-10%,Within the 1st month of marriage,Mental,"Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Fully satisfied,Wife is not capable,Fully satisfied,Yes,0
suburban,Rajshahi,41,Unemployed,High school,Single family,married without children,1,0,0%,After 12 months of marriage,Verbal,"Mental, verbal",In the house,Arranged Marriage,Wife previously divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Wife is not capable,Fully dissatisfied,Yes,1
suburban,Dhaka,43,Employed,Graduate,Single family,married with children,1,5001-10000,31-50%,Within the 1st month of marriage,Mental,Verbal,In the house,Arranged Marriage,Both previously divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,1
urban,Sylhet,31,Unemployed,Postgraduate,Joint family (without in-laws),married without children,1,0,0%,After 12 months of marriage,Verbal,"Physical, verbal",Both indoors and outdoors,Love Marriage,Wife previously divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Husband is not capable,Partially dissatisfied,Yes,0
urban,Mymensingh,29,Unemployed,Postgraduate,Single family,married with children,1,0,0%,After 12 months of marriage,Verbal,Verbal,In the house,Love Marriage,Both previously divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,1
urban,Dhaka,26,Student,High school,Joint family (with in-laws),married with children,0,15001-25000,31-50%,After 12 months of marriage,"Physical, mental, verbal",Verbal,In the house,Arranged Marriage,Both previously divorced,3-5 years,Wife involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Dhaka,21,Abroad,Postgraduate,Joint family (with in-laws),married with children,1,15001-25000,11-30%,Within 6 months to 12 months of marriage,"Physical, verbal","Physical, verbal",In the house,Love Marriage,Wife previously divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Rajshahi,21,Employed,Postgraduate,Single family,married with children,1,25001-50000,11-30%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Husband previously divorced,3-5 years,Husband involved in adultery,Dissatisfied,Both are capable,Partially dissatisfied,Yes,0
rural,Dhaka,39,Unemployed,Postgraduate,Joint family (with in-laws),married without children,1,0,0%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,Both indoors and outdoors,Love Marriage,Wife previously divorced,More than 10 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are incapable,Fully dissatisfied,Yes,0
